carat,cut,price,price_per_carat
1.03,Fair,4328,
0.92,Fair,3924,
0.96,Fair,2539,
1.43,Fair,6727,
1.73,Fair,6007,
0.5,Fair,1035,
2,Fair,10833,
1.01,Fair,5226,
0.77,Fair,3031,
0.9,Fair,1758,
2.01,Fair,15888,
2,Fair,8736,
0.7,Fair,2075,
2.03,Fair,6002,
1.04,Fair,3564,
1.01,Fair,6081,
0.9,Fair,2964,
0.91,Fair,2763,
1.7,Fair,9996,
0.9,Fair,3750,
0.91,Fair,3210,
1.03,Fair,2884,
0.7,Fair,1808,
1,Fair,4312,
0.7,Fair,2500,
0.9,Fair,3689,
0.5,Fair,1373,
0.71,Fair,2086,
1.52,Fair,6129,
0.5,Fair,613,
1,Fair,4328,
1.51,Fair,7534,
0.5,Fair,1350,
1.2,Fair,2622,
0.5,Fair,1890,
0.9,Fair,3145,
1.02,Fair,4462,
0.7,Fair,2964,
1.5,Fair,5292,
0.92,Fair,4482,
0.34,Fair,497,
0.54,Fair,1944,
1,Fair,6210,
0.9,Fair,1939,
1.01,Fair,3671,
0.48,Fair,907,
0.71,Fair,3062,
1.01,Fair,4480,
2,Fair,11966,
2,Fair,9549,
0.73,Fair,1631,
2.11,Fair,7019,
2.49,Fair,6289,
0.5,Fair,1122,
1.5,Fair,7098,
1.51,Fair,9386,
1,Fair,6397,
0.92,Fair,3323,
1,Fair,4077,
0.96,Fair,1808,
0.72,Fair,2396,
1.01,Fair,4276,
1.43,Fair,7928,
0.71,Fair,2002,
1.91,Fair,6632,
1.01,Fair,3597,
2.01,Fair,10887,
1.29,Fair,4824,
1,Fair,2974,
1.01,Fair,3597,
1,Fair,5096,
0.7,Fair,978,
0.91,Fair,3180,
0.87,Fair,3166,
1.5,Fair,4704,
0.47,Fair,829,
0.81,Fair,2414,
2,Fair,11935,
1.01,Fair,5797,
0.7,Fair,1069,
1.5,Fair,4328,
0.48,Fair,1215,
2.04,Fair,9802,
0.85,Fair,1250,
1.11,Fair,5178,
1,Fair,2808,
0.9,Fair,4796,
1.13,Fair,2968,
1.51,Fair,5801,
0.4,Fair,644,
0.9,Fair,2639,
2.01,Fair,7294,
1.04,Fair,2745,
1.5,Fair,10644,
0.9,Fair,2691,
0.5,Fair,627,
0.7,Fair,2381,
0.5,Fair,1181,
0.9,Fair,3629,
1.26,Fair,4551,
0.7,Fair,1803,
0.5,Fair,1050,
1.52,Fair,4648,
0.34,Fair,816,
1,Fair,4679,
1,Fair,3965,
0.71,Fair,2274,
0.9,Fair,3473,
1.01,Fair,4118,
2.02,Fair,13399,
0.71,Fair,1840,
0.35,Fair,738,
0.7,Fair,3296,
1.05,Fair,2717,
1.2,Fair,3011,
1.01,Fair,3540,
0.9,Fair,3288,
0.74,Fair,2553,
1.49,Fair,8779,
2,Fair,15330,
1.13,Fair,4176,
0.3,Fair,945,
1.2,Fair,4044,
1,Fair,3443,
3,Fair,16970,
1.51,Fair,8387,
1.5,Fair,12787,
0.77,Fair,2594,
1,Fair,2912,
0.92,Fair,3117,
0.5,Fair,727,
1.01,Fair,4127,
0.7,Fair,1996,
1.01,Fair,5185,
0.5,Fair,1257,
0.7,Fair,1420,
0.72,Fair,2131,
0.96,Fair,2867,
0.7,Fair,2167,
0.98,Fair,3583,
1.21,Fair,4147,
1,Fair,2112,
0.49,Fair,1249,
1.52,Fair,9704,
1.08,Fair,3980,
1,Fair,3511,
1.5,Fair,10450,
