carat,cut,price,price_per_carat
1.06,Premium,4689,
0.8,Premium,3285,
0.31,Premium,558,
2.01,Premium,12369,
1.52,Premium,8897,
1.6,Premium,11189,
0.31,Premium,435,
0.36,Premium,932,
0.71,Premium,2441,
2.31,Premium,13831,
0.32,Premium,591,
0.4,Premium,1125,
0.71,Premium,2202,
0.72,Premium,2721,
0.4,Premium,1050,
0.41,Premium,1015,
1.5,Premium,16169,
0.7,Premium,2818,
0.41,Premium,876,
1.02,Premium,4284,
0.3,Premium,776,
1.26,Premium,6068,
2,Premium,11966,
0.81,Premium,3266,
0.31,Premium,698,
0.75,Premium,2216,
1.51,Premium,7418,
0.92,Premium,3751,
1.14,Premium,5326,
2.03,Premium,18423,
1.11,Premium,4578,
0.79,Premium,2876,
1.03,Premium,4579,
1.21,Premium,6708,
0.92,Premium,3529,
1.03,Premium,6056,
0.52,Premium,1001,
0.25,Premium,740,
0.41,Premium,1148,
1.04,Premium,3261,
1.07,Premium,4440,
0.36,Premium,878,
0.6,Premium,2444,
0.3,Premium,709,
0.9,Premium,3095,
2.33,Premium,8220,
2.14,Premium,15418,
2.02,Premium,13812,
1.18,Premium,4956,
0.34,Premium,956,
2.03,Premium,16900,
0.3,Premium,789,
0.67,Premium,2171,
0.41,Premium,1079,
2.04,Premium,14605,
1.91,Premium,13092,
0.4,Premium,975,
0.36,Premium,770,
0.9,Premium,4234,
1.03,Premium,4503,
0.37,Premium,1041,
0.31,Premium,734,
0.42,Premium,992,
0.31,Premium,558,
1.01,Premium,7240,
0.4,Premium,990,
0.55,Premium,1617,
0.32,Premium,672,
0.52,Premium,1306,
2.12,Premium,13884,
1.35,Premium,10415,
1,Premium,3808,
0.26,Premium,724,
0.51,Premium,1614,
0.51,Premium,1873,
1.24,Premium,10033,
1.06,Premium,7541,
0.33,Premium,723,
0.3,Premium,1013,
0.58,Premium,2095,
0.71,Premium,2797,
0.53,Premium,1877,
1.3,Premium,6931,
1,Premium,5292,
1.5,Premium,14105,
2.07,Premium,16392,
0.77,Premium,2939,
0.71,Premium,2633,
1.07,Premium,4119,
0.3,Premium,473,
0.31,Premium,462,
1.3,Premium,5242,
0.32,Premium,828,
0.64,Premium,2074,
0.41,Premium,1295,
0.7,Premium,2319,
0.89,Premium,2815,
0.93,Premium,3646,
0.78,Premium,3494,
0.62,Premium,1823,
1.01,Premium,9711,
0.3,Premium,737,
0.51,Premium,1971,
1.52,Premium,16779,
0.3,Premium,844,
0.5,Premium,1415,
2.26,Premium,15428,
0.71,Premium,2861,
0.51,Premium,1052,
2,Premium,16031,
0.42,Premium,1087,
1,Premium,5292,
0.31,Premium,766,
0.32,Premium,900,
2.42,Premium,17168,
0.76,Premium,4150,
0.34,Premium,650,
1.01,Premium,4416,
1.72,Premium,12998,
0.91,Premium,4045,
0.7,Premium,2822,
0.22,Premium,342,
0.36,Premium,689,
0.56,Premium,1698,
1.2,Premium,4717,
2.29,Premium,17666,
0.73,Premium,2393,
1.52,Premium,6639,
0.51,Premium,2035,
0.36,Premium,789,
0.31,Premium,462,
1.01,Premium,4616,
1.07,Premium,5123,
0.7,Premium,2633,
1.08,Premium,4740,
2.55,Premium,18766,
0.3,Premium,878,
0.32,Premium,1080,
2,Premium,18371,
1.03,Premium,5101,
0.4,Premium,877,
1.2,Premium,4839,
0.31,Premium,802,
0.32,Premium,648,
0.96,Premium,3808,
0.56,Premium,1963,
1.04,Premium,3603,
0.3,Premium,710,
0.98,Premium,2064,
2.01,Premium,14752,
0.42,Premium,1024,
1.11,Premium,3692,
1.25,Premium,5925,
0.34,Premium,650,
0.34,Premium,765,
0.32,Premium,1020,
1.52,Premium,4345,
2.18,Premium,12970,
1.3,Premium,7130,
0.31,Premium,707,
0.93,Premium,2807,
0.43,Premium,1264,
0.3,Premium,552,
0.34,Premium,626,
1.07,Premium,5123,
0.41,Premium,1367,
2.07,Premium,13731,
1.24,Premium,7162,
0.41,Premium,683,
1.65,Premium,11712,
0.41,Premium,1061,
0.42,Premium,803,
1.1,Premium,3726,
0.4,Premium,807,
0.71,Premium,2208,
0.37,Premium,746,
0.74,Premium,2723,
1.03,Premium,5105,
1.7,Premium,8044,
0.3,Premium,911,
0.76,Premium,2443,
0.8,Premium,2451,
2.27,Premium,17149,
2.05,Premium,16611,
1,Premium,3790,
0.33,Premium,743,
1.05,Premium,11946,
0.72,Premium,2022,
1.23,Premium,4133,
0.41,Premium,1061,
1.1,Premium,4497,
0.41,Premium,961,
0.53,Premium,1363,
0.4,Premium,842,
1.14,Premium,4980,
