carat,cut,color,clarity,depth,table,price,x,y,z
1.06,Premium,E,SI1,63,56,4689,6.54,6.45,4.09
1.71,Ideal,G,VVS2,62.1,55,18599,7.63,7.66,4.75
1.51,Good,G,VS2,63.3,60,12756,7.2,7.28,4.58
0.8,Premium,F,VS2,59.7,58,3285,6.02,5.97,3.58
0.3,Good,D,SI1,63.1,56,515,4.24,4.28,2.69
0.71,Very Good,E,SI2,58.4,63,2343,5.85,5.8,3.4
1.75,Very Good,I,SI2,61.2,57,10098,7.71,7.76,4.73
0.32,Ideal,G,VVS2,61.6,56,708,4.42,4.44,2.73
0.3,Ideal,D,VS2,62.3,54,911,4.34,4.29,2.69
0.31,Ideal,G,VVS1,62.1,55,789,4.33,4.36,2.7
0.42,Very Good,I,SI1,61.2,60,626,4.78,4.82,2.94
0.31,Premium,I,VS2,60.7,61,558,4.34,4.32,2.63
0.51,Ideal,E,SI1,61.4,56,1377,5.15,5.17,3.17
0.33,Ideal,H,VVS1,62.1,55,752,4.42,4.44,2.75
2.01,Premium,J,SI1,60.5,59,12369,8.12,8.01,4.88
1.52,Very Good,H,SI2,62.7,57,8194,7.32,7.36,4.6
1.03,Fair,I,VS1,57.6,58,4328,6.67,6.58,3.81
0.3,Ideal,D,VS1,60.8,56,885,4.37,4.39,2.66
0.36,Good,H,VS2,63.5,54,568,4.55,4.59,2.9
0.3,Ideal,H,SI1,62.9,57,540,4.29,4.26,2.69
1.52,Premium,D,SI2,60.2,60,8897,7.46,7.4,4.47
0.79,Very Good,F,SI1,62.9,57,3519,5.86,5.94,3.71
1.6,Premium,G,SI1,62.4,61,11189,7.43,7.4,4.63
0.31,Premium,I,VS2,62.3,60,435,4.31,4.32,2.69
0.24,Ideal,F,VS1,62,56,536,3.99,3.94,2.46
1.13,Ideal,D,SI1,61.8,56,5936,6.74,6.68,4.15
0.41,Very Good,H,VVS2,63.1,58,847,4.71,4.74,2.98
1,Good,E,SI1,63.7,60,5174,6.29,6.24,3.99
0.53,Good,J,VS2,63.8,57,1122,5.12,5.1,3.26
0.3,Ideal,H,VS1,62.5,56,526,4.24,4.27,2.66
0.36,Premium,F,VS2,61.4,58,932,4.6,4.56,2.81
0.41,Ideal,E,SI2,59.8,55,876,4.93,4.81,2.91
1.47,Very Good,H,SI2,59.3,59,7438,7.34,7.39,4.37
0.92,Fair,H,VS1,56,60,3924,6.53,6.51,3.65
0.71,Premium,E,SI1,60.4,62,2441,5.72,5.67,3.44
0.46,Ideal,D,VS2,62.7,57,1388,4.93,4.89,3.08
2.31,Premium,H,SI2,59.2,61,13831,8.65,8.57,5.1
1,Ideal,G,SI1,61.9,56,5088,6.45,6.37,3.97
1.1,Very Good,F,VS2,62.8,56,7174,6.56,6.59,4.13
0.32,Premium,H,SI1,62,58,591,4.39,4.38,2.72
1.04,Very Good,D,SI2,58.2,59,4252,6.62,6.67,3.87
0.33,Ideal,E,VS1,60.6,57,686,4.49,4.52,2.73
1.02,Ideal,I,SI2,60.7,57,3856,6.57,6.54,3.98
1.57,Ideal,F,SI1,61.1,55,12432,7.55,7.53,4.61
0.4,Premium,E,VS1,62.5,58,1125,4.72,4.69,2.94
1.2,Ideal,J,VS1,61,57,5722,6.81,6.89,4.18
1.01,Very Good,F,SI2,60.8,63,4017,6.38,6.32,3.86
0.51,Very Good,D,VVS2,63.1,58,2289,5.1,5.07,3.21
0.93,Ideal,F,SI2,59.5,57,3828,6.37,6.33,3.78
0.64,Ideal,D,VVS1,61.8,54,4084,5.54,5.56,3.43
1.11,Ideal,F,SI2,61.7,55,4942,6.66,6.63,4.1
0.4,Very Good,G,VS2,62.8,61,807,4.63,4.67,2.92
0.32,Ideal,J,VS2,62.1,54,393,4.38,4.44,2.74
1.19,Ideal,H,VVS2,61.6,56,7651,6.78,6.86,4.2
0.71,Premium,I,VS1,62.5,59,2202,5.75,5.71,3.58
1.51,Ideal,G,VS2,61.8,54,14482,7.42,7.38,4.57
1.42,Ideal,H,SI2,62.2,56,7475,7.21,7.16,4.47
0.91,Very Good,D,SI2,63.4,59,3911,6.12,6.15,3.89
2.45,Ideal,F,SI2,62,55,16589,8.67,8.64,5.36
0.72,Premium,D,VS2,61,59,2721,5.77,5.74,3.51
0.4,Premium,G,VVS2,59.7,58,1050,4.8,4.78,2.86
0.31,Ideal,E,SI1,60.1,57,601,4.36,4.39,2.63
1.07,Ideal,F,SI2,62,56,5077,6.51,6.55,4.09
0.4,Ideal,D,VVS2,62,56,1323,4.74,4.71,2.93
0.41,Premium,D,SI1,60.5,60,1015,4.81,4.77,2.9
0.72,Ideal,I,VS2,62.1,58,2347,5.74,5.72,3.57
1.07,Ideal,J,VS2,61.7,58,4686,6.58,6.55,4.05
1.03,Ideal,G,VVS1,62,56,8398,6.54,6.5,4.04
0.71,Very Good,H,VS2,59.2,63,2428,5.81,5.85,3.45
1.5,Premium,E,VS1,62.5,58,16169,7.28,7.21,4.53
0.7,Premium,E,VS2,59.3,60,2818,5.78,5.73,3.41
2,Ideal,E,SI2,62.3,56,12210,8.04,7.94,4.98
0.41,Premium,H,SI1,61.7,60,876,4.75,4.71,2.92
0.42,Ideal,I,VS2,61,54,807,4.84,4.87,2.96
0.62,Very Good,H,SI1,60.1,61,1446,5.55,5.59,3.35
0.4,Good,H,SI2,63.7,59,561,4.64,4.69,2.97
0.58,Ideal,G,VS2,61.2,55,1558,5.4,5.45,3.32
0.26,Good,F,VVS1,63.3,57,564,4.05,4.07,2.57
1.06,Very Good,E,VS1,59.6,60,8219,6.68,6.75,4
0.37,Ideal,G,VS2,61.6,55,851,4.63,4.65,2.86
1.02,Premium,F,SI2,60,60,4284,6.57,6.53,3.93
1,Very Good,D,VS1,60.5,59,8077,6.43,6.46,3.9
0.31,Ideal,D,SI2,62,56,462,4.33,4.35,2.69
1.01,Ideal,H,SI1,62.3,59,4876,6.36,6.41,3.98
0.3,Premium,G,VS1,61.8,59,776,4.37,4.34,2.69
0.91,Good,J,VS1,64.2,60,3210,6.01,5.95,3.84
0.41,Very Good,D,SI1,63.2,57,947,4.77,4.73,3
0.72,Very Good,G,SI1,63.1,57,2385,5.71,5.67,3.59
0.31,Ideal,G,VVS2,62.1,54,677,4.37,4.39,2.72
1.26,Premium,I,SI1,62,58,6068,6.9,6.87,4.27
0.33,Ideal,I,VS1,61.6,57,668,4.46,4.41,2.73
0.4,Good,D,SI2,63.9,53,798,4.71,4.68,3
2,Premium,J,VS2,62.9,60,11966,7.99,7.95,5.01
0.8,Very Good,H,SI1,62.3,59,2670,5.95,6,3.72
0.38,Very Good,G,VS2,60.1,61,766,4.63,4.66,2.79
0.36,Very Good,H,IF,61.6,56,865,4.57,4.62,2.83
1.09,Ideal,G,SI1,62.2,56,5022,6.6,6.55,4.09
0.3,Good,H,VVS2,63.5,55,605,4.25,4.28,2.71
0.81,Premium,G,VS1,62.3,56,3266,5.95,5.89,3.69
0.33,Ideal,H,VVS1,60.2,60,698,4.49,4.52,2.71
0.31,Premium,I,VVS2,62.1,58,698,4.33,4.3,2.68
0.51,Ideal,J,SI2,62.1,56,885,5.1,5.14,3.18
0.75,Premium,G,SI2,61,58,2216,5.9,5.94,3.61
0.4,Ideal,G,IF,62.2,55,1397,4.76,4.73,2.95
1.51,Premium,J,VS2,62.3,59,7418,7.31,7.35,4.57
0.92,Premium,G,SI1,61.5,60,3751,6.26,6.19,3.83
1.59,Ideal,H,VVS2,62.6,54,12971,7.43,7.47,4.67
0.37,Very Good,H,VS2,61.2,54,537,4.62,4.7,2.85
0.36,Ideal,D,SI1,62,54,626,4.58,4.61,2.85
1.14,Premium,G,SI1,62.2,58,5326,6.64,6.7,4.15
1.01,Good,D,VS2,64.2,60,6176,6.35,6.32,4.07
2.03,Premium,G,SI1,61.3,59,18423,8.11,8.08,4.96
1.11,Premium,H,SI2,61.6,60,4578,6.6,6.67,4.09
0.52,Ideal,E,SI1,62.1,54,1341,5.17,5.2,3.22
1,Good,H,SI1,63.7,60,4788,6.33,6.3,4.02
0.37,Ideal,J,VS1,62.4,55,487,4.59,4.64,2.88
0.72,Ideal,H,VS1,61.1,57,2961,5.8,5.82,3.55
0.79,Premium,E,VS2,60.6,53,2876,6.04,5.98,3.64
1.03,Premium,F,SI1,60.9,60,4579,6.52,6.45,3.95
1.56,Ideal,I,SI1,62.5,54,9788,7.45,7.37,4.63
1.21,Premium,H,VS2,58.8,59,6708,7.01,6.98,4.11
0.52,Very Good,E,VS1,60.7,54,1682,5.22,5.29,3.19
0.92,Premium,I,SI1,60.7,58,3529,6.3,6.25,3.81
0.3,Ideal,D,VS2,62.3,56,790,4.31,4.29,2.68
1.03,Premium,D,SI1,61.2,54,6056,6.61,6.53,4.02
2.01,Very Good,E,SI2,60.6,59,17118,8.11,8.25,4.96
0.3,Good,G,IF,63.8,55,956,4.28,4.24,2.72
0.52,Premium,G,SI2,62.5,59,1001,5.1,5.07,3.18
0.33,Ideal,E,VS1,60.2,57,781,4.48,4.52,2.71
1.06,Ideal,G,VVS1,61.6,57,8488,6.53,6.55,4.03
1.23,Very Good,I,VS1,63.1,58,6564,6.77,6.91,4.32
1.2,Ideal,G,VS2,62.8,54,8414,6.75,6.79,4.25
0.63,Very Good,D,SI1,62.8,57,1939,5.46,5.49,3.44
0.38,Ideal,E,VS2,61.7,54,1038,4.66,4.68,2.88
0.3,Good,G,VS1,63.4,55,565,4.26,4.32,2.72
0.52,Ideal,D,VS1,60.9,56,1707,5.17,5.21,3.16
0.29,Ideal,G,IF,61.3,55,673,4.25,4.28,2.61
0.3,Ideal,I,VS1,61.4,56,491,4.3,4.33,2.65
0.25,Premium,E,VVS1,62.9,58,740,4.03,4.01,2.53
0.41,Premium,G,VVS1,59.7,60,1148,4.85,4.83,2.89
1.07,Ideal,D,VS1,61.8,57,9077,6.55,6.58,4.06
0.33,Ideal,G,VS1,60.1,55,854,4.55,4.5,2.72
0.9,Good,G,VS1,64.5,57,3977,6.01,6.08,3.9
1.04,Premium,H,I1,61.6,61,3261,6.47,6.45,3.98
