Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date
Azkend 2: The World Beneath,NS,Puzzle,10tons,,,,,,12/1/2018
Tesla vs Lovecraft,NS,Action,10tons,,,,,,16/3/2018
Baseball Riot,NS,Puzzle,10tons Ltd,,,,,,19/1/2018
Frostpunk,PC,Strategy,11 bit studios,,,,,,24/4/2018
Moonlighter,All,Role-Playing,11 bit studios,,,,,,29/5/2018
Moonlighter,PC,Role-Playing,11 bit studios,,,,,,29/5/2018
Moonlighter,XOne,Role-Playing,11 bit studios,,,,,,29/5/2018
Carnival Games,NS,Party,2K Games,0.11,0.14,,0.02,0.27,6/11/2018
NBA 2K Playgrounds 2,NS,Sports,2K Games,0.07,0.05,,0.01,0.14,9/11/2018
Sid Meier's Civilization VI,NS,Strategy,2K Games,0.12,0.11,0.01,0.02,0.25,16/11/2018
Sid Meier's Civilization VI: Rise and Fall,PC,Strategy,2K Games,,,,,,8/2/2018
NBA 2K19,All,Sports,2K Sports,,,,,,11/9/2018
NBA 2K19,PS4,Sports,2K Sports,1.69,0.44,0.03,0.47,2.63,11/9/2018
NBA 2K19,XOne,Sports,2K Sports,1.47,0.08,,0.18,1.74,11/9/2018
NBA 2K19,NS,Sports,2K Sports,0.24,0.02,0.01,0.03,0.3,11/9/2018
NBA 2K19,PC,Sports,2K Sports,,,,,,11/9/2018
WWE 2K19,PS4,Fighting,2K Sports,0.36,0.46,,0.16,0.98,9/10/2018
WWE 2K19,XOne,Fighting,2K Sports,0.3,0.14,,0.04,0.48,9/10/2018
WWE 2K19,PC,Fighting,2K Sports,,,,,,9/10/2018
Mars or Die!,PC,Strategy,34BigThings srl,,,,,,13/7/2018
Return of the Obra Dinn,PC,Misc,3909 LLC,,,,,,18/10/2018
Downward Spiral: Horus Station,PS4,Action-Adventure,3rd Eye Studios,,,,,,18/9/2018
Downward Spiral: Horus Station,PC,Action-Adventure,3rd Eye Studios,,,,,,31/5/2018
ABZU,NS,Adventure,505 Games,,,,,,29/11/2018
Last Day of June,NS,Adventure,505 Games,,,,,,16/3/2018
