date_time,pressure_mbar,temperature_celsius,dew_point_celsius,relative_humidity_percent,vapor_pressure_actual_mbar,specific_humidity_g_per_kg,air_density_g_per_m_cubed,wind_velocity_m_per_s,wind_direction_degrees,rainfall_mm,season
2020-01-01 01:00:00,1008.44,0.34,-1.54,87.1,5.45,3.37,1281.84,0.63,188.0,0.0,winter
2020-01-01 02:00:00,1008.32,-0.21,-1.78,89.1,5.36,3.31,1284.32,0.5,154.0,0.0,winter
2020-01-01 03:00:00,1008.46,-0.05,-1.71,88.5,5.39,3.33,1283.73,0.46,46.51,0.0,winter
2020-01-01 04:00:00,1008.0,-1.02,-2.31,90.9,5.15,3.19,1287.83,1.83,218.1,0.0,winter
2020-01-01 05:00:00,1007.63,-1.84,-2.78,93.2,4.97,3.08,1291.32,1.53,226.9,0.0,winter
2020-01-01 06:00:00,1007.81,-2.51,-3.34,94.0,4.77,2.95,1294.85,0.85,177.9,0.0,winter
2020-01-01 07:00:00,1008.17,-2.26,-2.94,95.0,4.91,3.04,1294.04,0.95,218.2,0.0,winter
2020-01-01 08:00:00,1008.16,-2.84,-3.6,94.5,4.68,2.89,1296.95,1.37,131.0,0.0,winter
2020-01-01 09:00:00,1008.07,-3.08,-3.9,94.0,4.57,2.83,1298.02,1.02,189.6,0.0,winter
2020-01-01 10:00:00,1008.45,-1.93,-3.18,91.1,4.83,2.98,1292.89,0.29,124.0,0.0,winter
2020-01-01 11:00:00,1008.34,-1.14,-3.08,86.6,4.86,3.01,1288.99,0.78,95.7,0.0,winter
2020-01-01 12:00:00,1007.62,0.68,-2.03,82.0,5.26,3.25,1279.31,0.7,154.7,0.0,winter
2020-01-01 13:00:00,1007.04,2.83,-1.29,74.2,5.56,3.44,1268.45,0.91,141.0,0.0,winter
2020-01-01 14:00:00,1006.41,3.7,-1.09,70.8,5.64,3.49,1263.64,1.31,202.3,0.0,winter
2020-01-01 15:00:00,1006.01,4.58,-0.75,68.2,5.78,3.58,1259.06,0.55,211.3,0.0,winter
2020-01-01 16:00:00,1005.83,3.74,-1.13,70.4,5.62,3.48,1262.75,0.91,229.0,0.0,winter
2020-01-01 17:00:00,1005.96,2.09,-1.57,76.6,5.44,3.37,1270.53,0.53,61.39,0.0,winter
2020-01-01 18:00:00,1005.85,0.63,-2.09,81.9,5.24,3.25,1277.28,1.35,220.2,0.0,winter
2020-01-01 19:00:00,1005.68,-1.32,-3.36,85.9,4.76,2.95,1286.45,0.4,63.19,0.0,winter
2020-01-01 20:00:00,1005.53,-1.48,-2.94,89.7,4.92,3.05,1286.94,0.58,153.1,0.0,winter
2020-01-01 21:00:00,1005.21,-2.78,-3.78,92.8,4.62,2.86,1292.88,1.2,139.7,0.0,winter
